SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0082281,1,5,49,1,6,1,21,9500,60,9645,1,1,5,1,2,07513,1019518
2023GQ0082785,1,29,18,1,1,1,16,0,0,0,0,6,1,5,1,07511,1019518
2023GQ0082816,1,15,79,2,9,2,16,49700,354,0,0,6,1,2,1,07514,1019518
2023GQ0083275,1,74,67,1,2,1,17,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0083348,1,146,36,1,2,1,16,0,0,9920,9,3,1,5,1,07514,1019518
2023GQ0083623,1,47,65,1,2,1,18,0,0,6050,1,6,1,1,1,07509,1019518
2023GQ0083690,1,64,30,1,2,1,17,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0083696,1,68,68,1,2,1,18,17100,0,0,0,6,1,2,1,07512,1019518
2023GQ0084057,1,159,47,1,1,1,21,13200,84,0,0,6,1,5,1,07509,1019518
2023GQ0084119,1,127,72,2,6,1,8,13800,98,0,0,6,4,5,2,07514,1019518
2023GQ0084315,1,2,57,2,8,1,16,9000,0,0,0,6,1,5,1,07508,1019518
2023GQ0084343,1,4,38,1,1,1,18,700,4,9620,1,3,1,5,1,07510,1019518
2023GQ0084439,1,65,33,1,2,1,17,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0084509,1,77,50,2,1,1,14,11900,76,6230,1,6,1,5,1,07509,1019518
2023GQ0084568,1,17,76,2,8,2,16,19500,139,0,0,6,1,3,1,07512,1019518
2023GQ0084716,1,42,57,2,8,1,16,9000,0,0,0,6,1,5,1,07508,1019518
2023GQ0084894,1,4,94,2,1,1,22,5800,41,0,0,6,1,5,1,07514,1019518
2023GQ0085083,1,172,67,2,2,1,18,14200,97,0,0,6,1,5,1,07510,1019518
2023GQ0085084,1,50,21,2,1,1,16,4900,0,5400,1,1,1,5,1,07510,1019518
2023GQ0085124,1,16,64,2,1,1,21,0,0,0,0,6,1,5,1,07511,1019518
2023GQ0085478,1,38,73,2,1,1,19,14800,0,0,0,6,1,5,1,07509,1019518
2023GQ0085978,1,61,19,2,6,1,19,4500,0,1555,2,1,1,5,1,07508,1019518
2023GQ0086519,1,5,94,2,6,1,14,19200,132,0,0,6,4,2,2,07513,1019518
2023GQ0086890,1,97,85,2,1,1,21,9100,64,0,0,6,1,5,1,07508,1019518
2023GQ0087158,1,6,85,2,1,1,21,9100,64,0,0,6,1,5,1,07507,1019518
2023GQ0087337,1,41,17,1,2,1,15,0,0,0,0,6,1,5,1,07513,1019518
2023GQ0087385,1,96,28,1,2,1,17,30000,192,3930,2,6,1,5,1,07511,1019518
2023GQ0087775,1,16,55,2,2,3,16,17900,117,3603,2,6,1,5,1,07510,1019518
2023GQ0088704,1,48,59,1,9,1,16,6200,40,0,0,6,4,5,2,07509,1019518
2023GQ0088780,1,77,34,1,1,1,17,590,3,0,0,6,1,5,1,07510,1019518
2023GQ0088868,1,9,62,1,6,1,18,420,0,0,0,6,3,5,1,07508,1019518
2023GQ0090042,1,14,17,1,1,2,16,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0090378,1,33,30,2,1,1,24,33600,0,1650,4,1,5,5,2,07510,1019518
2023GQ0091865,1,6,76,1,6,1,24,0,0,0,0,6,5,5,2,07512,1019518
2023GQ0092007,1,51,54,1,8,1,21,18800,123,2752,2,3,1,5,1,07509,1019518
2023GQ0092066,1,54,66,2,6,1,18,14200,98,0,0,6,4,2,2,07514,1019518
2023GQ0092594,1,66,18,2,1,1,18,11000,0,9645,1,1,1,5,1,07508,1019518
2023GQ0092765,1,145,18,2,1,2,16,0,0,9920,9,3,1,5,1,07513,1019518
